idCampagna;impianto_id;tipo_originale;tipo_modello;zona_istat;lat;lon;formato;giorni;ots_giornalieri;ots_totali;reach_univoco;ic_low_95;ic_high_95;frequency_media;grp;copertura_pct;pct_18_34;pct_35_54;pct_55plus;avvisi
3;77930;N/D;billboard;015146;45,47;9,13;100X140;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77931;N/D;billboard;015146;45,47;9,13;100X140;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77932;N/D;billboard;015146;45,47;9,12;100X140;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77933;N/D;billboard;015146;45,48;9,13;100X140;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77934;N/D;billboard;015146;45,48;9,13;100X140;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77935;N/D;billboard;015146;45,48;9,14;100X140;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77958;N/D;billboard;015146;45,50;9,10;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77959;N/D;billboard;015146;45,50;9,10;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77960;N/D;billboard;015146;45,50;9,11;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77961;N/D;billboard;015146;45,50;9,11;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77962;N/D;billboard;015146;45,50;9,11;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77963;N/D;billboard;015146;45,50;9,11;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77982;N/D;billboard;015146;45,51;9,21;4X3;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77983;N/D;billboard;015146;45,50;9,14;4X3;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77984;N/D;billboard;015146;45,51;9,13;4X3;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
